threshold,flag_rate,precision,recall,f1
0.01,0.90308,0.006555343934092218,0.9579288025889967,0.013021577986494512
0.02,0.85694,0.006581557635307022,0.912621359223301,0.013068866438038743
0.05,0.75908,0.006850397850028982,0.8414239482200647,0.013590152366515956
0.1,0.62192,0.00794314381270903,0.7993527508090615,0.015729979302658813
0.2,0.41558,0.010298859425381396,0.6925566343042071,0.020295902883156296
0.3,0.26984,0.012377705306848502,0.540453074433657,0.02420114484457648
0.5,0.09854,0.017454840673838037,0.2783171521035599,0.03284950343773873
