feature,importance_mean,importance_std
credit_score,0.028763623355043823,0.0013241819925429899
servicer_name,0.013485059621827732,0.0011280311049351596
num_borrowers,0.012003178099463349,0.001630442679404406
seller_name,0.011617644849438386,0.0013372964361140233
original_upb,0.011494726434084727,0.001565900357039452
cltv,0.006531145016575354,0.0017095927094041338
msa,0.0034776028727260115,0.0006199015774449529
ltv,0.0023861504615917796,0.0012394524914107097
dti,0.0017882321602658638,0.0023836939040765013
property_state,0.0011445429160482385,0.00127609792805553
loan_purpose,0.0010597595204973552,0.0007573086025070707
original_loan_term,0.0002097439545796248,0.0002131216175517992
mi_pct,0.00015406494284766066,0.0008579080242030251
mi_cancellation_indicator,0.00012521227020214354,5.0755822250658706e-05
num_units,0.00011530212490876435,0.00032268488516326213
vintage_year,0.0,0.0
interest_only_indicator,0.0,0.0
program_indicator,-1.4533932670392213e-05,0.00012777593251736018
property_valuation_method,-0.000126479561110536,0.0004926500297489487
occupancy_status,-0.00034246106735833783,0.00038290520029401456
channel,-0.0006010980270298297,0.00011077664697137212
first_time_homebuyer_flag,-0.0007537142195907426,0.0005278015275497522
postal_code,-0.0010071225927197973,0.0016087254402784108
property_type,-0.0012190715477599632,0.0007294714359965248
interest_rate,-0.001679590123778603,0.0009380662361491869
