dti,loan_count,event_rate
"[0, 20)",16805,0.0036298720618863434
"[20, 30)",51073,0.005815205685978893
"[30, 40)",80545,0.009485380843007015
"[40, 50)",92657,0.014720960100154333
"[50, 100)",8879,0.013402410181326726
